code,name
hk00001,长和
hk00002,中电控股
hk00003,香港中华煤气
hk00004,九龙仓集团
hk00005,汇丰控股
hk00006,电能实业
hk00007,智富资源投资
hk00008,电讯盈科
hk00009,金奥国际
hk00010,恒隆集团
hk00011,00011
hk00012,恒基地产
hk00013,和黄医药
hk00014,希慎兴业
hk00016,新鸿基地产
hk00017,新世界发展
hk00018,东方传媒集团
hk00019,太古股份公司A
hk00020,商汤-W
hk00021,大中华控股
hk00022,茂盛控股
hk00023,东亚银行
hk00025,其士国际
hk00026,中华汽车
hk00027,银河娱乐
hk00028,天安
hk00029,达力集团
hk00030,云白国际
hk00031,航天控股
hk00032,港通控股
hk00033,INTL GENIUS
hk00034,九龙建业
hk00035,远东发展
hk00036,远东控股国际
hk00037,远东酒店实业
hk00038,第一拖拉机股份
hk00039,中国北大荒
hk00040,金山科技工业
hk00041,鹰君
hk00042,东北电气
hk00045,大酒店
hk00046,科联系统
hk00048,中国汽车内饰
hk00050,香港小轮(集团)
hk00051,海港企业
hk00052,大快活集团
hk00053,国浩集团
hk00055,中星集团控股
hk00057,震雄集团
hk00058,新威国际
hk00059,天誉置业
hk00060,香港食品投资
hk00061,绿领控股
hk00062,载通
hk00063,中亚烯谷集团
hk00064,结好控股
hk00065,弘海高新资源
hk00066,港铁公司
hk00068,群核科技
hk00069,香格里拉(亚洲)
hk00070,金粤控股
hk00071,美丽华酒店
hk00072,超媒体控股
hk00073,亚洲果业
hk00075,渝太地产
hk00076,谊砾控股
hk00077,进智公共交通
hk00078,富豪酒店
hk00079,世纪建业
hk00080,CAI控股
hk00081,中国海外宏洋集团
hk00082,疯狂体育
hk00083,信和置业
hk00084,宝光实业
hk00085,中电华大科技
hk00086,新鸿基公司
hk00087,太古股份公司B
hk00088,大昌集团
hk00089,大生地产
hk00090,普星能量
hk00092,冠军科技集团
hk00093,零在科技金融
hk00094,绿心集团
hk00095,绿景中国地产
hk00096,友成控股
hk00097,恒基发展
hk00098,兴发铝业
hk00099,王氏国际
hk00100,MINIMAX-W
hk00101,恒隆地产
hk00102,凯升控股
hk00103,首佳科技
hk00104,冠亚商业
hk00105,凯联国际酒店
hk00106,朗诗绿色管理
hk00107,四川成渝高速公路
hk00108,国锐生活
hk00110,中国长远
hk00111,信达国际控股
hk00113,迪生创建
hk00114,兴利集团
hk00115,钧濠集团
hk00116,周生生
hk00117,天利控股集团
hk00118,大同机械
hk00119,保利置业集团
hk00120,四海国际
hk00122,鳄鱼恤
hk00123,越秀地产
hk00124,粤海置地
hk00125,新兴光学
hk00126,佳宁娜
hk00127,华人置业
hk00128,安宁控股
hk00129,泛海集团
hk00130,慕诗国际
hk00131,卓能(集团)
hk00132,兴业控股
hk00133,招商局中国基金
hk00135,昆仑能源
hk00136,中国儒意
hk00137,金辉集团
hk00138,中建富通
hk00139,小鱼盈通
hk00142,第一太平
hk00144,招商局港口
hk00145,信能低碳
hk00146,太平地毡
hk00147,国际商业结算
hk00148,建滔集团
hk00149,中国农产品交易
hk00151,中国旺旺
hk00152,深圳国际
hk00154,北京控股环境集团
hk00156,力宝华润
hk00157,自然美
hk00158,万邦投资
hk00159,布莱克万矿业
hk00160,汉国置业
hk00162,世纪金花
hk00163,英皇国际
hk00164,中国宝力科技
hk00165,中国光大控股
hk00166,新时代集团控股
hk00167,万威国际
hk00168,青岛啤酒股份
hk00169,万达酒店发展
hk00171,银建国际
hk00173,嘉华国际
hk00174,盛洋投资
hk00175,吉利汽车
hk00176,先机企业集团
hk00177,江苏宁沪高速公路
hk00178,莎莎国际
hk00179,德昌电机控股
hk00180,开达集团
hk00181,闽港控股
hk00182,协合新能源
hk00183,宏辉集团
hk00184,激成投资
hk00185,正商实业
hk00186,敏捷控股
hk00187,京城机电股份
hk00188,新华汇富金融
hk00189,东岳集团
hk00191,丽新国际
hk00193,冠中地产
hk00194,廖创兴企业
hk00195,绿科科技国际
hk00196,宏华集团
hk00197,亨泰
hk00199,德祥地产
hk00200,新濠国际发展
hk00201,华大酒店
hk00202,润中国际控股
hk00204,资本界金控
hk00205,BFB HEALTH
hk00206,华商能源
hk00207,00207
hk00209,万维智能科技
hk00210,达芙妮国际
hk00211,大凌集团
hk00212,南洋集团
hk00213,乐声电子
hk00214,汇汉控股
hk00215,和记电讯香港
hk00216,建业实业
hk00217,中国诚通发展集团
hk00218,申万宏源香港
hk00219,顺豪物业
hk00220,统一企业中国
hk00222,闽信集团
hk00223,易生活控股
hk00224,建生国际
hk00225,博富临置业
hk00226,00226
hk00227,第一上海
hk00228,中能控股
hk00229,利民实业
hk00230,00230
hk00232,大陆航空科技控股
hk00234,新世纪集团
hk00235,中策资本控股
hk00236,香港生力啤
hk00237,安全货仓
hk00239,白花油
hk00240,利基控股
hk00241,阿里健康
hk00242,信德集团
hk00243,品质国际
hk00244,先施
hk00245,中薇金融
hk00247,尖沙咀置业
hk00248,香港通讯国际控股
hk00251,爪哇控股
hk00252,华信地产财务
hk00253,顺豪控股
hk00254,国家联合资源
hk00255,龙记集团
hk00256,冠城钟表珠宝
hk00257,光大环境
hk00258,汤臣集团
hk00259,亿都(国际控股)
hk00261,GBA集团
hk00262,迪臣发展国际
hk00264,中联发展控股
hk00265,港誉智慧城市服务
hk00266,天德地产
hk00267,中信股份
hk00268,金蝶国际
hk00269,中国资源交通
hk00270,粤海投资
hk00271,亚证地产
hk00272,瑞安房地产
hk00274,复兴亚洲
hk00276,蒙古能源
hk00277,太兴置业
hk00279,裕承科金
hk00280,景福集团
hk00285,比亚迪电子
hk00286,爱帝宫
hk00287,永发置业
hk00288,万洲国际
hk00289,永安国际
hk00290,国富量子
hk00291,华润啤酒
hk00293,国泰航空
hk00294,长江制衣
hk00295,江山控股
hk00296,英皇娱乐酒店
hk00297,中化化肥
hk00298,庄士中国
hk00299,宝新置地
hk00300,美的集团
hk00301,三和精化
hk00302,中手游
hk00303,伟易达集团
hk00305,五菱汽车
hk00306,冠忠巴士集团
hk00308,香港中旅
hk00309,新华通讯频媒
hk00310,嘉进投资国际
hk00311,联泰控股
hk00312,岁宝百货
hk00313,裕田中国
hk00314,思派健康
hk00315,数码通电讯
hk00316,东方海外国际
hk00317,中船防务
hk00318,黄河实业
hk00320,金宝通
hk00321,德永佳集团
hk00322,康师傅控股
hk00323,马鞍山钢铁股份
hk00325,布鲁可
hk00326,中国星集团
hk00327,百富环球
hk00328,爱高集团
hk00329,东建国际
hk00330,思捷环球
hk00331,丰盛生活服务
hk00332,元亨燃气
hk00333,黛丽斯国际
hk00334,华显光电
hk00335,美建集团
hk00336,华宝国际
hk00337,绿地香港
hk00338,上海石油化工股份
hk00339,全球数字控股
hk00340,潼关黄金
hk00341,大家乐集团
hk00343,文化传信
hk00345,维他奶国际
hk00346,延长石油国际
hk00347,鞍钢股份
hk00348,中国智能健康
hk00351,亚洲能源物流
hk00352,富阳
hk00353,能源国际投资
hk00354,中国软件国际
hk00355,世纪城市国际
hk00356,鼎立资本
hk00357,美兰空港
hk00358,江西铜业股份
hk00360,新焦点
hk00361,汉成发展控股
hk00362,中国天化工
hk00363,上海实业控股
hk00365,芯成科技
hk00366,陆氏集团(越南)
hk00367,庄士机构国际
hk00368,德合集团
hk00369,永泰地产
hk00370,港仔机器人
hk00371,北控水务集团
hk00372,保德国际发展
hk00373,联合集团
hk00374,四洲集团
hk00375,YGM贸易
hk00376,云锋金融
hk00377,中国华君
hk00379,恒嘉融资租赁
hk00380,中国管业
hk00381,权识国际
hk00382,中汇集团
hk00383,天安卓健
hk00384,中国燃气
hk00385,建联集团
hk00386,中国石油化工股份
hk00387,力丰(集团)
hk00388,香港交易所
hk00389,通天酒业
hk00390,中国中铁
hk00391,美亚娱乐资讯
hk00392,北京控股
hk00393,旭日企业
hk00396,兴利(香港)控股
hk00397,嬴集团
hk00398,东方表行集团
hk00399,星太链集团
hk00400,硬蛋创新
hk00401,万嘉集团
hk00403,星光集团
hk00405,越秀房产信托基金
hk00406,有利集团
hk00408,叶氏化工集团
hk00410,SOHO中国
hk00411,南顺(香港)
hk00412,山高控股
hk00413,南华集团控股
hk00417,谢瑞麟
hk00418,方正控股
hk00419,弘毅文化集团
hk00420,福田实业
hk00422,越南制造加工出口
hk00423,经济日报集团
hk00425,敏实集团
hk00426,万华媒体
hk00428,中国天弓控股
hk00430,东方兴业控股
hk00431,大中华金融
hk00432,盈大地产
hk00433,北方矿业
hk00434,博雅互动
hk00435,阳光房地产基金
hk00436,新宇环保
hk00438,彩虹新能源
hk00439,瀚源控股
hk00440,大新金融
hk00442,域能控股
hk00444,先施表行
hk00450,鸿兴印刷集团
hk00451,时代数字
hk00455,天大药业
hk00456,新城市建设发展
hk00458,联亚集团
hk00459,00459
hk00460,四环医药
hk00464,中国智能科技
hk00465,富通科技
hk00467,联合能源集团
hk00468,纷美包装
hk00470,先导智能
hk00471,中播数据
hk00472,新丝路控股集团
hk00474,信铭生命科技
hk00475,中发展控股
hk00476,科轩动力控股
hk00480,香港兴业国际
hk00482,圣马丁国际
hk00483,包浩斯国际
hk00484,云游控股
hk00485,中国华星
hk00486,俄铝
hk00487,实德环球
hk00488,丽新发展
hk00489,00489
hk00491,英皇文化产业
hk00493,国美零售
hk00495,百利大
hk00496,卡森国际
hk00497,资本策略地产
hk00498,蓝河控股
hk00499,青岛控股
hk00500,先丰服务集团
hk00501,豪威集团
hk00505,兴业合金
hk00506,中国食品
hk00508,鼎亿集团投资
hk00509,世纪阳光
hk00510,时富金融服务集团
hk00511,电视广播
hk00512,远大医药
hk00513,恒和集团
hk00515,中华银科技
hk00517,中远海运国际
hk00518,同得仕(集团)
hk00519,诺科达科技
hk00520,呷哺呷哺
hk00521,CWT INT'L
hk00522,ASMPT
hk00524,长城天下
hk00525,广深铁路股份
hk00526,利时集团控股
hk00527,瑞风新能源
hk00528,金达控股
hk00529,新龙国际集团
hk00532,王氏港建
hk00533,金利来集团
hk00535,金地商置
hk00536,贸易通
hk00538,味千(中国)
hk00540,迅捷环球控股
hk00542,中国文旅农业
hk00543,太平洋网络
hk00544,大同集团
hk00546,阜丰集团
hk00547,数字王国
hk00548,深圳高速公路股份
hk00550,律齐文化
hk00551,裕元集团
hk00552,中国通信服务
hk00553,南京熊猫电子股份
hk00554,汉思集团控股
hk00556,泛亚环保
hk00557,天元医疗
hk00558,力劲科技
hk00559,德泰新能源集团
hk00560,珠江船务
hk00563,上实城市开发
hk00564,中创智领
hk00565,锦艺集团控股
hk00567,大昌微线集团
hk00568,山东墨龙
hk00570,中国中药
hk00571,丰德丽控股
hk00572,未来世界控股
hk00573,稻香控股
hk00574,百信国际
hk00575,励晶太平洋
hk00576,浙江沪杭甬
hk00579,京能清洁能源
hk00580,赛晶科技
hk00581,中国东方集团
hk00582,神话世界
hk00583,长城环亚控股
hk00585,意力国际
hk00586,海螺创业
hk00587,海螺环保
hk00588,北京北辰实业股份
hk00589,建中建设
hk00590,六福集团
hk00591,中国高精密
hk00593,00593
hk00595,先思行集团
hk00596,浪潮数字企业
hk00598,中国外运
hk00599,怡邦行控股
hk00600,爱芯元智
hk00601,稀镁科技
hk00602,佳华百货控股
hk00603,中油燃气
hk00604,深圳控股
hk00605,中国金融投资管理
hk00606,中骏商管
hk00607,丰盛控股
hk00608,达利国际
hk00609,天德化工
hk00610,惠记集团
hk00611,中国核能科技
hk00612,嘉文世纪投资公司
hk00613,梧桐国际
hk00616,财富链
hk00617,百利保控股
hk00618,北大资源
hk00619,南华金融
hk00620,大唐西市
hk00621,坛金矿业
hk00622,威华达控股
hk00623,中视金桥
hk00626,大众金融控股
hk00627,共生智筑
hk00628,通通AI社交
hk00629,悦达国际控股
hk00630,隽泰控股
hk00631,三一国际
hk00632,中港石油
hk00635,彩星集团
hk00636,KLN
hk00637,利记
hk00638,广和通
hk00639,首钢资源
hk00640,星谦发展
hk00641,中国恒天立信国际
hk00643,恒富控股
hk00645,安域亚洲
hk00646,中国环保科技
hk00648,京玖康疗(新)
hk00650,普达特科技
hk00653,卓悦控股
hk00655,香港华人有限公司
hk00656,复星国际
hk00657,环科国际
hk00658,中国高速传动
hk00659,周大福创建
hk00660,玮俊生物科技
hk00661,中国大冶有色金属
hk00662,亚洲金融
hk00663,00663
hk00664,铜师傅
hk00666,瑞浦兰钧
hk00667,中国东方教育
hk00669,创科实业
hk00670,中国东方航空股份
hk00672,众安集团
hk00673,中国卫生集团
hk00674,中国唐商
hk00675,坚宝国际
hk00676,创信国际
hk00677,金源发展国际实业
hk00679,亚洲联网(五千)
hk00681,中民控股
hk00682,超大现代
hk00683,嘉里建设
hk00684,亚伦国际
hk00685,世界华文媒体
hk00686,北京能源国际
hk00687,泰升集团
hk00688,中国海外发展
hk00689,长盈集团(控股)
hk00690,联康生物科技集团
hk00691,山水水泥
hk00693,陈唱国际
hk00694,北京首都机场股份
hk00695,东吴水泥
hk00696,中国民航信息网络
hk00697,首程控股
hk00698,通达集团
hk00699,均胜电子
hk00700,腾讯控股
hk00701,北海集团
hk00702,中国油气控股
hk00703,佳景集团
hk00704,和嘉控股
hk00707,亚洲电视控股
hk00708,恒大汽车
hk00709,佐丹奴国际
hk00710,京东方精电
hk00711,亚洲联合基建控股
hk00712,卡姆丹克太阳能
hk00713,世界(集团)
hk00716,胜狮货柜
hk00717,英皇资本
hk00718,太和控股
hk00719,山东新华制药股份
hk00720,意达利控股
hk00721,中国金融国际-新
hk00722,联合医务
hk00723,信保环球控股
hk00724,00724
hk00725,恒都集团
hk00726,筑友智造科技
hk00727,皇冠环球集团
hk00728,中国电信
hk00730,首惠产业金融
hk00731,建发新胜
hk00732,信利国际
hk00733,合富辉煌
hk00736,中国置业投资
hk00737,湾区发展
hk00738,莱尔斯丹
hk00743,亚洲水泥(中国)
hk00745,中国国家文化产业
hk00746,理文化工
hk00747,沈阳公用发展股份
hk00750,水发兴业能源
hk00751,创维集团
hk00752,笔克远东
hk00753,中国国航
hk00754,合生创展集团
hk00755,大方广瑞德
hk00756,森美控股
hk00757,阳光能源
hk00759,CEC国际控股
hk00760,新天地产集团
hk00762,中国联通
hk00763,中兴通讯
hk00764,永恒策略
hk00765,威发国际
hk00767,中基长寿科学
hk00768,开明投资
hk00769,中国稀土
hk00770,沪光国际
hk00771,自动系统
hk00772,阅文集团
hk00775,长江生命科技
hk00776,帝国科技集团
hk00777,网龙
hk00778,置富产业信托
hk00780,同程旅行
hk00784,凌锐控股
hk00788,中国铁塔
hk00789,雅天妮集团
hk00794,锦胜集团(控股)
hk00797,第七大道
hk00798,中电光谷
hk00799,IGG
hk00800,文远知行-W
hk00802,中国钱包
hk00804,鼎石资本
hk00805,新吉奥房车
hk00806,惠理集团
hk00807,上海实业环境
hk00808,泓富产业信托
hk00809,大成生化科技
hk00810,中国铸晨81
hk00811,新华文轩
hk00812,西证国际证券
hk00813,世茂集团
hk00814,北京京客隆
hk00815,中国白银集团
hk00816,金茂服务
hk00817,中国金茂
hk00818,高阳科技
hk00819,天能动力
hk00820,00820
hk00821,汇盈控股
hk00822,嘉瑞国际
hk00823,领展房产基金
hk00825,新世界百货中国
hk00826,天工国际
hk00827,玖源集团
hk00828,王朝酒业
hk00829,神冠控股
hk00830,中国建筑兴业
hk00831,利亚零售
hk00832,建业地产
hk00833,华讯
hk00834,康大食品
hk00836,华润电力
hk00837,谭木匠
hk00838,亿和控股
hk00839,中教控股
hk00840,天业节水
hk00841,木薯资源
hk00842,理士国际
hk00844,广泰国际控股
hk00845,恒盛地产
hk00846,明发集团
hk00848,茂业国际
hk00851,盛源控股
hk00852,海峡石油化工
hk00853,微创医疗
hk00854,威雅利
hk00855,中国水务
hk00856,伟仕佳杰
hk00857,中国石油股份
hk00858,精优药业
hk00859,中昌国际控股
hk00860,APOLLO出行
hk00861,神州控股
hk00862,远见控股(新)
hk00863,OSL集团
hk00864,永利地产发展
hk00865,建德国际控股
hk00866,中国秦发
hk00867,康哲药业
hk00868,信义玻璃
hk00869,彩星玩具
hk00871,中国疏浚环保
hk00873,世茂服务
hk00874,白云山
hk00875,从玉智农
hk00876,佳兆业健康
hk00878,金朝阳集团
hk00880,澳博控股
hk00881,中升控股
hk00882,天津发展
hk00883,中国海洋石油
hk00884,旭辉控股集团
hk00887,英皇钟表珠宝
hk00888,链信控股
hk00889,连达科技控股
hk00893,中国铁钛
hk00894,万裕科技
hk00895,东江环保
hk00896,兴胜创建
hk00897,位元堂
hk00898,万事昌国际
hk00899,中加国信
hk00900,Aeon信贷
hk00901,华曦达
hk00902,华能国际电力股份
hk00905,胡桃资本
hk00907,高雅光学
hk00909,明源云
hk00910,中国三迪
hk00911,前海健康
hk00912,信佳国际
hk00913,港湾数字
hk00914,海螺水泥
hk00915,道和环球
hk00916,龙源电力
hk00917,趣致集团
hk00918,龙翼航空科技
hk00919,现代健康科技
hk00921,海信家电
hk00922,安贤园中国
hk00923,综合环保集团
hk00924,坤集团
hk00925,北京建设
hk00926,碧生源
hk00927,富士高实业
hk00928,帝王国际投资
hk00929,国际精密
hk00931,中国港能
hk00932,顺腾国际控股
hk00933,非凡领越
hk00934,中石化冠德
hk00936,佳兆业资本
hk00938,民生国际
hk00939,建设银行
hk00941,中国移动
hk00943,中证国际
hk00945,宏利金融-S
hk00947,摩比发展
hk00948,阿尔法企业
hk00950,李氏大药厂
hk00951,超威动力
hk00952,华富建业金融
hk00953,邵氏兄弟控股
hk00954,常茂生物
hk00956,新天绿色能源
hk00959,世纪娱乐国际
hk00960,龙湖集团
hk00966,中国太平
hk00968,信义光能
hk00969,华联国际
hk00970,新耀莱
hk00974,中国顺客隆
hk00975,蒙古焦煤
hk00976,齐合环保
hk00978,招商局置地
hk00979,绿色能源科技集团
hk00980,联华超市
hk00981,中芯国际
hk00983,瑞安建业
hk00984,永旺
hk00986,杜甫酒业集团-新
hk00987,中国再生能源投资
hk00989,中国长白山国际
hk00990,至源控股
hk00991,大唐发电
hk00992,联想集团
hk00993,信控国际资本
hk00994,中天宏信
hk00995,安徽皖通高速公路
hk00997,普汇中金国际
hk00998,中信银行
hk00999,小菜园